Year,forestprop,pr_forest,kba_f,kba_t,protected_forest,kba_m,redlist,bio_aid,death_missing,loss_disaster,sendai_score,gov_spending,basic_drinking,basic_sanitation,undernourishment,stunted,overweight,plant_genes,agri_index,aid_agri,mmr,skilled_birth,under5mr,nmr,hiv,tuberculosis,malaria,tropical_disease,death_chronic,suicide,alcohol,traffic_deaths,fam_plan,adolescent_birth,uhc_index,poisoning,vaccine,medical_aid,doc_density,ihr_capacity,participation_rate,parity_teaching,scholarship,teacher_training,f_parliament,safewater,open_toilets,handwashing,waterbody,wateraid,electricity,cleanfuel,renewable,energy_intensity,energyaid,gdp_capita,gdp_employed,consumption_cap,totalaid,manu_value,manuco2,infrastrure_flow,tech_value,mobile_3g,np_unga,zero_tarrif,dev_assist,slumpop,death_missing,disasterloss,drrscore,consumption_cap,death_missing,homicideprop,human_traffic,np_unga,gov_rev,localfunds,remittanceprop,debtservice,internet_access,internet_use,techaid,tarrifavg,tarrif_applied,stat_capdev
2000,0.2720614,,0.2192875,0.3801884,0.1507151,0.4955902,0.82351,,,,,,0.7998707,0.1512425,,,,,,69.48467,548,0.119,81.1,40.4,0.19,163,7.35,,27.3,15.4,0.79553,16.9,,71,24,1.5,74,16.672649,,,,,,,0.058537,0.239283,0.6688317,,,58.97581,0.271552,0.14,0.8829,9.29,11.05,0.0417,4.3,2.59839,,0.0808,1.25,114.32397,12.1,,,,330.61023,0.64,,,,2.59839,,,,,0.1129498,0.545317,0.0202936,0.0739416,,0.2,19.06861,,6.92531,
2001,,725085,0.2192875,0.3801884,,0.4955902,0.82345,,,,,0.1915604,0.8058893,0.1749453,0.22,0.571,0.0066934,2532,,96.14441,527,0.109,76.5,38.9,0.2,163,,,,,,17,52.8,,,,72,38.345361,,,,0.84935,,0.1537102,0.058537,0.2416208,0.6398527,,,292.63024,0.246,,0.8776,9.15,4.88,0.0379,3,2.81652,,0.0794,1.38,169.08057,12.12,,,,429.00523,,,,,2.81652,,,,,0.1198115,,0.0244688,0.0770669,,0.24,152.34674,,,
2002,,724915,0.2192875,0.3870972,,0.5050113,0.8233,25.90999,,,,0.216562,0.8114635,0.1986868,0.214,,,,0.16339,55.83602,505,,72.3,37.5,0.2,163,,,,,,17.3,,,,,72,21.574805,,,,0.78902,,0.1468151,0.058537,0.2436175,0.6124088,,,44.00017,0.3484372,,0.8994,9.24,39.41,-0.0153,-1.6,3.03934,,0.0751,0.73,86.97324,11.86,,,,248.67733,,,,,3.03934,,,,,0.1195819,,0.1121302,0.1020136,,0.31,48.36832,,,
2003,,724630,0.2899681,0.4153694,,0.5050113,0.8234,13.09261,,,,0.2044405,0.8169852,0.2229927,0.204,,,,0.13877,39.57615,482,,68.3,36.1,0.2,163,,,,,,17.2,,106,,,78,20.239996,,,,0.77887,,0.1622721,,0.2456056,0.5850689,,,85.4089,0.3866164,,0.8944,9.15,59.9,0.0234,2.3,3.39652,,0.0723,0.89,129.0005,11.86,,,,450.99802,,,,,3.39652,,,,,0.1320882,,0.1218032,0.1004593,,0.38,117.05894,,,
2004,,724455,0.3566762,0.4420527,,0.521843,0.82334,9.36924,,,,0.2131265,0.8224532,0.2478598,0.187,,,,0.13986,42.72329,461,,64.6,34.8,0.18,163,,,,,,17.8,,98,,,80,15.721329,2.127,,,0.80123,,0.1738608,,0.247585,0.5578364,,,47.89155,0.372,,0.903,8.86,5,0.032,3,3.26864,,0.0705,0.74,144.28118,9.19,,,,417.81229,,,,,3.26864,,,,,0.1323971,,0.1130899,0.0897048,,0.45,79.11377,,,
2005,0.2536449,724220,0.3566762,0.4528682,0.1446645,0.5365914,0.82332,1.90593,,,,0.2161336,0.8278663,0.2732844,0.172,,,,0.24323,30.84415,444,,61.1,33.5,0.16,163,5.115,,25.8,12.5,1.96576,17.8,,,29,0.9,75,19.912881,,,,0.84493,,0.3051447,,0.2495553,0.5307146,0.5524303,,49.58291,0.4622322,0.18,0.8952,8.85,37.34,0.0214,1.9,3.28828,,0.0702,1.12,109.44951,9.19,,0.52356,0.51,397.08543,0.607,,,,3.28828,,,,0.52356,0.1398958,0.6094152,0.149051,0.0818599,,0.83,73.45588,14.15155,6.25313,
2006,,723970,0.3566762,0.4884711,,0.5851408,0.82354,3.32699,2.698,0.01248,,0.2229422,0.8332235,0.299263,0.16,0.492,0.0061477,2532,0.14738,27.79959,425,0.187,57.9,32.2,0.13,164,,,,,,17.6,60.9,,,,89,24.09576,,,,,1.60017,,,0.2515159,0.5037069,0.5534751,0.14719,47.67264,0.512,,0.9125,8.57,17.73,0.0217,1.6,3.25736,105.20614,0.069,0.66,84.38105,9.13,0.1,,,439.1621,,2.698,1380.258,,3.25736,2.698,,,,0.128577,,0.1606896,0.0968741,0,1.14,69.93941,,,568917.5
2007,,723702,0.3566762,0.4884711,,0.5851408,0.82359,7.32572,2.781,0.02193,,0.2550064,0.8385242,0.3257934,0.152,,,,0.1374,33.162,406,,54.9,31,0.12,164,,,,,,17.8,,,,,82,38.76258,,,,0.89537,1.05924,0.6136031,0.173252,0.2534678,0.4768124,0.5545398,0.146,25.28688,0.5372591,,0.9131,8.44,58.33,0.0233,1.8,3.21044,115.48059,0.0684,0.85,87.37682,9.19,,,,552.16639,,2.781,1412381.52,,3.21044,2.781,,147,,0.1404014,,0.1679181,0.0861938,0.04,1.41,68.14541,,,932432.44
2008,,723531,0.3566762,0.4885082,,0.5851915,0.82403,17.844,4.007,0.03353,,0.2114614,0.8437664,0.35287,0.14,,,,0.13563,33.3736,386,,52,29.8,0.11,164,,,,,,17.8,,87,,,82,40.999676,,,,0.98292,2.08379,0.6643616,0.173252,0.2554093,0.4500389,0.5556213,0.14496,45.42642,0.5748794,,0.9047,8.24,51.82,0.0506,4.7,3.28244,143.58806,0.0639,0.79,117.07768,1.9,,,,607.71192,,4.007,6702919.08,,3.28244,4.007,,145,,0.1479171,,0.217381,0.0827386,0.05,1.73,87.34417,,,306076.93
2009,,723054,0.3566762,0.5194846,,0.5851915,0.82426,6.57991,5.235,0.01243,,0.2223003,0.8489488,0.3804892,0.126,,,,0.21903,51.33123,368,,49.3,28.7,0.09,164,,,,,,18,,81,,,89,37.109283,,,,,8.35194,,0.33165,0.2573401,0.4233896,0.5567194,0.14313,56.60828,0.6127518,,0.8893,8.11,49.08,0.035,3,3.35252,148.55178,0.0605,0.81,120.11808,2.14,0.2035,,,692.11934,,5.235,4764646.339,,3.35252,5.235,,197,,0.1679946,,0.2320763,0.0997659,0.06,1.97,118.82903,,,496283.71
