Indicator,T1.5.2,T1.5.3,T1.a.2,T1.4.1a,T1.4.1b,T2.1.1,T2.2.1,T2.2.2,T2.5.1,T2.a.1a,T2.a.1,T3.1.1,T3.1.2,T3.2.1,T3.2.2,T3.3.1,T3.3.2,T3.3.3,T3.3.5,T3.4.1,T3.4.2,T3.5.2,T3.6.1,T3.7.1,T3.7.2,T3.8.1,T3.9.3,T3.b.1,T3.b.2,T3.c.1,T3.d.1,T4.2.2,T4.5.1,T4.b.1,T4.c.1,T5.5.1,T6.1.1,T6.2.1a,T6.2.1b,T6.6.1,T6.a.1,T7.1.1,T7.1.2,T7.2.1,T7.3.1,T7.a.1,T8.1.1,T8.2.1,T8.4.2a,T8.a.1,T9.2.1,T9.4.1,T9.a.1,T9.b.1,T9.c.1,T10.6.1,T10.a.1,T10.b.1,T11.1.1,T11.5.2,T11.b.1,T12.2.2a,T13.1.1,T15.1.1,T15.1.2,T15.4.1,T15.5.1,T15.a.1,T 16.1.1,T16.2.2,T16.8.1,T17.1.1,T17.1.2,T17.3.2,T17.4.1,T17.6.2,T17.8.1,T17.9.1,T17.10.1,T17.12.1,T17.19.1
T3.7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
T3.7.2,0.83,0,0,0,0,0.78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,-0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,-1,0,0
T3.8.1,1,0,-1,0.9,0.9,-1,0,0,-1,0,0,-1,0,-0.9,-0.9,-0.9,0,-0.9,0,-1,-1,1,1,0,0,1,-1,1,0.9,0,0,-1,0,0,0,0,0.9,-0.9,0,-1,0,0.9,0.9,0,-1,0,0,0,0.9,0,-0.9,0,0,-1,0,0,0,0.9,-1,1,0,0.9,-1,0,0.89,0,0,0,0,0,0,0.9,1,1,0,0,0.9,0.9,0,0,1
T3.9.3,0,0,1,-1,-1,1,0,0,0,-1,-0.9,1,-1,1,1,1,0.89,1,1,1,1,0,-1,0,0,-1,1,-0.9,0,0,0,-1,-1,1,-1,0,-1,1,1,0,0,-1,-1,0.9,0,0,0.9,0.9,-1,0,1,-0.9,0,0.97,-1,0,0,-0.9,1,0,0,-1,1,1,-0.89,-0.9,0,1,1,-1,0,-1,-1,-0.9,0,0,-1,-1,0,0,-1
T3.b.1,0,0,-0.59,0.84,0.84,-0.93,0,0,0,0.59,0,-0.92,0,-0.84,-0.84,-0.83,-0.5,0,0,-0.9,-0.9,0.9,0,0,0,1,-0.9,1,0.73,0,0,-0.77,0.74,0,0.82,0.73,0.84,-0.84,0,-0.78,0,0.84,0.81,-0.51,-0.88,0.48,0,0,0.75,0.63,-0.81,0,0.63,-0.78,0,-0.89,0.9,0.81,-0.9,0,0,0.75,0,-0.82,0.85,0.82,0,0,0,0,-0.89,0.8,0.84,0.86,0,0.67,0.84,0.64,0,0,0
T3.b.2,0,0,-0.69,0.84,0.84,-0.83,0,0.9,0.81,0.67,0.63,-0.86,0,-0.84,-0.84,-0.83,-0.6,0,0,0,0,1,0,0,0,0.9,0,0.73,1,0,0,0,0.74,0,0.79,0,0.84,-0.84,-0.7,-0.72,0.51,0.84,0,-0.68,-0.86,0,0,0,0.74,0.78,-0.85,0.67,0.77,-0.62,0,0,0,0.88,0,0,0,0.74,0,-0.82,0.83,0.88,0.63,0,0,0,0,0.83,0,0.84,0,0.72,0.84,0.69,0,0,0
T3.c.1,0,0,0,1,1,0,0,0,1,1,0,-1,0,-1,-1,-0.97,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,-1,0.9,0,1,-1,-1,0,0,1,0,0,0,1,0,0,0.9,1,-0.9,0,0.9,0,0,0,0,0.9,-1,0,0,0.9,0,-1,0,0.9,0,-1,-1,0,0,1,-1,0,-0.9,0,1,0,0,-1,-1
T3.d.1,0,0,0,0,0,0,0,0,0,0,0,-0.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0
T4.2.2,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-0.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
T4.5.1,0,0,-0.71,0.91,0.91,-0.89,-1,0,0.9,0.64,0.67,-0.87,1,-0.91,-0.91,-0.94,-0.74,-0.85,-0.83,-1,-1,0,0,0,-0.93,0,-1,0.74,0.74,0,0,0,1,0,0.93,0,0.91,-0.91,-0.81,0,0.53,0.91,0.97,-0.73,-0.85,0,0,0,0.82,0.7,-0.92,0.74,0.73,-0.82,0.89,-0.89,0,0.9,-1,0,0,0.82,-0.82,-0.91,0.82,0.91,0,-0.9,-0.9,0.79,-0.89,0.93,0,0.87,0,0.71,0.91,0.73,0,0,0
